"Nome","ano","total_views"
"Bruna Viola","2015",4155640
"Bruna Viola","2016",5695150
"Day e Lara","2016",17629928
"Day e Lara","2017",2894069
"Fernanda Costa","2015",134133
"Fernanda Costa","2016",4920
"Fernanda Costa","2017",7088775
"Julia e Rafaela","2016",2809834
"Julia e Rafaela","2017",2516115
"Lais","2012",2192868
"Lais","2013",6099851
"Lais","2014",3025294
"Lais","2015",2436296
"Lais","2016",186869
"Maiara e Maraisa","2013",9897075
"Maiara e Maraisa","2014",4251027
"Maiara e Maraisa","2015",1350572116
"Maiara e Maraisa","2016",195121345
"Maiara e Maraisa","2017",158688830
"Marilia Mendonça","2013",814889
"Marilia Mendonça","2014",9932818
"Marilia Mendonça","2015",1590133719
"Marilia Mendonça","2016",455216022
"Marilia Mendonça","2017",284622193
"May e Karen","2013",7574269
"May e Karen","2014",90788
"May e Karen","2015",641442
"May e Karen","2016",27747748
"May e Karen","2017",4447012
"Naiara Azevedo","2011",3789803
"Naiara Azevedo","2012",1298956
"Naiara Azevedo","2013",10801895
"Naiara Azevedo","2014",44758956
"Naiara Azevedo","2015",147724693
"Naiara Azevedo","2016",202158554
"Naiara Azevedo","2017",18923317
"Paula Fernandes","2009",9791651
"Paula Fernandes","2011",313737801
"Paula Fernandes","2012",85806911
"Paula Fernandes","2013",89411395
"Paula Fernandes","2014",12801894
"Paula Fernandes","2015",20559323
"Paula Fernandes","2016",22764014
"Paula Mattos","2015",108347808
"Paula Mattos","2016",28662123
"Roberta Miranda","2013",3532
"Roberta Miranda","2014",5052188
"Roberta Miranda","2015",1494671
"Roberta Miranda","2016",2614631
"Roberta Miranda","2017",353567
"Simone e Simaria","2016",238883169
"Simone e Simaria","2017",276044170
"Suellen Santos","2012",788675
"Suellen Santos","2013",677045
"Suellen Santos","2014",403599
"Suellen Santos","2015",4224
"Suellen Santos","2016",32554
"Thaeme","2015",34957
"Thaeme","2016",284126
"Thaeme","2017",10483
"Tuta Guedes","2011",78116
"Tuta Guedes","2012",199369
"Tuta Guedes","2013",773176
"Tuta Guedes","2014",1392056
"Tuta Guedes","2015",179922
"Tuta Guedes","2016",730969
"Tuta Guedes","2017",359
"Wanessa","2008",631826
"Wanessa","2009",43565
"Wanessa","2010",950912
"Wanessa","2011",93441
"Wanessa","2012",91466
"Wanessa","2013",447454
"Wanessa","2016",8595088
"Wanessa","2017",1303803
