"artist","id","name","popularity","followers"
"lucy alves","3odaJsfozTVhSYdib7ORiJ","Lucy Alves",35,5171
"júlia & rafaela","7JJBuq3tgc4y2NO0TqAm02","Júlia & Rafaela",46,8384
"maiara & maraisa","59jlthNnbmim5l9tmNA7se","Maiara & Maraisa",73,976919
"simone & simaria","0MInKJqZscEeNc5K3K0mkE","Simone & Simaria",71,399496
"marília mendonça","1yR65psqiazQpeM79CcGh8","Marília Mendonça",78,1054538
"maiara & maraisa","59jlthNnbmim5l9tmNA7se","Maiara & Maraisa",73,976919
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"júlia & rafaela","7JJBuq3tgc4y2NO0TqAm02","Júlia & Rafaela",46,8384
"marília mendonça","1yR65psqiazQpeM79CcGh8","Marília Mendonça",78,1054539
"wanessa","4tKyqcDgQpGEIvJlbhl07P","Wanessa",48,43945
"mylena jardim","2XymXFnsg2qj9TPyK59Pke","Mylena Jardim",36,1736
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"paula mattos","03lJxNYml1ArLjcZLxfIvz","Paula Mattos",50,157380
"naiara azevedo","0jD7VeE1m2SdHbOWeCtB9l","Naiara Azevedo",61,395642
"may e karen","2yAseb2cBbgnMELX4d3xUe","May e Karen",38,6291
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"fernanda costa","7F1wmhduwv6fIEJBJb9SSm","Fernanda Costa",33,320
"simone & simaria","0MInKJqZscEeNc5K3K0mkE","Simone & Simaria",71,399496
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"paula mattos","03lJxNYml1ArLjcZLxfIvz","Paula Mattos",50,157380
"marília mendonça","1yR65psqiazQpeM79CcGh8","Marília Mendonça",78,1054540
"bruna viola","1FSqw66rqtbCLDgy9D751C","Bruna Viola",44,20633
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"may e karen","2yAseb2cBbgnMELX4d3xUe","May e Karen",38,6291
"júlia & rafaela","7JJBuq3tgc4y2NO0TqAm02","Júlia & Rafaela",46,8384
"paula fernandes","1nca3OA1kKCpP6aPJcBL92","Paula Fernandes",56,178251
"simone & simaria","0MInKJqZscEeNc5K3K0mkE","Simone & Simaria",71,399496
"bruna viola","1FSqw66rqtbCLDgy9D751C","Bruna Viola",44,20633
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"simone & simaria","0MInKJqZscEeNc5K3K0mkE","Simone & Simaria",71,399496
"day e lara","0vsVZPe7ziQLQ3eqwUTc4H","Day e Lara",58,27206
"marília mendonça","1yR65psqiazQpeM79CcGh8","Marília Mendonça",78,1054540
"simone & simaria","0MInKJqZscEeNc5K3K0mkE","Simone & Simaria",71,399496
"paula mattos","03lJxNYml1ArLjcZLxfIvz","Paula Mattos",50,157380
"paula fernandes","1nca3OA1kKCpP6aPJcBL92","Paula Fernandes",56,178251
"lola e vitória","7kEExdXSWYTrjQg7aSrVOm","Lola e Vitória",28,1584
"bruna e keyla","4W8CzOlLnjb5HhUHH3aFsh","Bruna e Keyla",26,478
"naiara azevedo","0jD7VeE1m2SdHbOWeCtB9l","Naiara Azevedo",61,395643
"tuta guedes","2JhnlqraP2E8atoagsC32K","Tuta Guedes",25,489
"suellen santos","5tVwmZk4q3IhFm6sMIuJq5","Suellen Santos",24,93
"laís","4tjqpI1j3bol89BIAiigT7","Laís",30,1961
"roberta miranda","6pRYBBHNsZYnZ8w2xjkAgP","Roberta Miranda",42,24535
"thaeme","14cCxRXG3sTMLp3rnCmNRX","Thaeme",37,1649
"maiara & maraisa","59jlthNnbmim5l9tmNA7se","Maiara & Maraisa",73,976922
"marília mendonça","1yR65psqiazQpeM79CcGh8","Marília Mendonça",78,1054541
"paula mattos","03lJxNYml1ArLjcZLxfIvz","Paula Mattos",50,157380
"paula fernandes","1nca3OA1kKCpP6aPJcBL92","Paula Fernandes",56,178251
"bruna viola","1FSqw66rqtbCLDgy9D751C","Bruna Viola",44,20634
"simone & simaria","0MInKJqZscEeNc5K3K0mkE","Simone & Simaria",71,399496
