"Nome","title","publishedAt","video_id","views"
"Marilia Mendonça","Minha Herança - Marília Mendonça",2013-05-13,"d-YI4ywvxm0",460707
"Marilia Mendonça","Um degrau na escada - Marília Mendonça",2013-05-13,"qPwGefvC2r8",165457
"Marilia Mendonça","Um século sem ti - Matogrosso & Mathias por Marília Mendonça",2013-05-18,"dUCQX2s8EFU",84578
"Marilia Mendonça","Te Esperando - Luan Santana por Marília Mendonça",2013-05-14,"VUz5ZAGpy-8",104147
"Marilia Mendonça","Marília Mendonça - A voz do coração [ Lyric Vídeo ]",2014-11-10,"W1dwp9fi3No",2273740
"Marilia Mendonça","Marília Mendonça - Sentimento Louco [ Vídeo Oficial ]",2014-12-11,"rNfQxtv3Yok",5168244
"Marilia Mendonça","Marília Mendonça - Sentimento Louco  [ Lyric Vídeo ]",2014-11-03,"CjX7Umm9O4M",1124768
"Marilia Mendonça","Marília Mendonça - O que falta em você sou eu [ Lyric Vídeo ]",2014-11-07,"eaWgpXGbJ18",574945
"Marilia Mendonça","Marília Mendonça - Essas nossas brigas [ Lyric Vídeo ]",2014-11-07,"9O3CdvGghKM",305871
"Marilia Mendonça","Marília Mendonça - Me desculpe mas eu sou fiel [ Lyric Vídeo ]",2014-11-07,"P2z494OFRzE",159846
"Marilia Mendonça","Marília Mendonça - Alô porteiro [ Lyric Vídeo ]",2014-11-07,"wPuMX9--sfY",325404
"Marilia Mendonça","Marília Mendonça - O Que Falta Em Você Sou Eu - Vídeo Oficial do DVD",2015-08-07,"CxKRaR6kFYs",74256203
"Marilia Mendonça","Marília Mendonça Impasse Part Henrique e Juliano - Vídeo Oficial do DVD",2015-07-14,"HL_uHQDi_0w",123657242
"Marilia Mendonça","Marília Mendonça - Silêncio - Vídeo Oficial do DVD",2015-07-30,"rEPjVthTNWg",34127188
"Marilia Mendonça","Marília Mendonça - Me Desculpe Mas Eu Sou Fiel - Vídeo Oficial do DVD",2015-08-08,"hP23CNAyPQ4",50249440
"Marilia Mendonça","Marília Mendonça - Como faz com ela - Vídeo Oficial do DVD",2015-07-26,"JPWjJlNtE_w",132981314
"Marilia Mendonça","Marília Mendonça - Entre Quatro Paredes - Vídeo Oficial do DVD",2015-08-17,"TOTV-LPQz4I",42152946
"Marilia Mendonça","Marília Mendonça - Folgado - Vídeo Oficial do DVD",2015-07-29,"2HwD3wliSgw",84238944
"Marilia Mendonça","Marília Mendonça - Quatro e quinze - Vídeo Oficial do DVD",2015-07-29,"RRozxcyu0kI",75406563
"Marilia Mendonça","Marília Mendonça - Hoje Somos Só Metade - Vídeo Oficial do DVD",2015-07-24,"4FDIWr0K6sA",38025381
"Marilia Mendonça","Marília Mendonça - Essas Nossas Brigas - Vídeo Oficial do DVD",2015-08-09,"9B7_KTYrTeM",57325097
"Marilia Mendonça","Marília Mendonça - O Que É Amor Pra Você - Vídeo Oficial do DVD",2015-07-21,"wqtRqLWe8Uo",81531343
"Marilia Mendonça","Marília Mendonça - Sentimento Louco - Vídeo Oficial do DVD",2015-08-06,"mdiX9gfiBjU",161110923
"Marilia Mendonça","Marília Mendonça - Infiel - Vídeo Oficial do DVD",2015-07-25,"eCyMh-mZ1B0",332446636
"Marilia Mendonça","Marília Mendonça - Meu Cupido é Gari - Vídeo Oficial do DVD",2015-08-14,"cUsYWdJzmeM",91795494
"Marilia Mendonça","Marília Mendonça - Alô Porteiro - Vídeo Oficial do DVD",2015-08-05,"a1w0lsZX8Lk",152223701
"Marilia Mendonça","Marília Mendonça - Esse Cara Aqui Do Lado - Vídeo Oficial do DVD",2015-07-27,"M0y38wobAyo",57199405
