"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Maiara & Maraisa - No Dia Do Seu Casamento (Clipe)","2013-10-17","mzsKRKwWKPg","list(id = ""mzsKRKwWKPg"", viewCount = ""7499541"", likeCount = ""94727"", dislikeCount = ""1876"", favoriteCount = ""0"", commentCount = ""3890"")","7499541","94727","1876","Maiara e Maraisa"
"Maiara & Maraisa - Amores da Minha Vida","2013-10-16","WR9XiYOdxRE","list(id = ""WR9XiYOdxRE"", viewCount = ""450776"", likeCount = ""4575"", dislikeCount = ""58"", favoriteCount = ""0"", commentCount = ""176"")","450776","4575","58","Maiara e Maraisa"
"Maiara & Maraisa -  No Dia Do Seu Casamento","2013-08-09","Snro5asx4A4","list(id = ""Snro5asx4A4"", viewCount = ""1120987"", likeCount = ""9214"", dislikeCount = ""289"", favoriteCount = ""0"", commentCount = ""492"")","1120987","9214","289","Maiara e Maraisa"
"Maiara & Maraisa - Níveis de Bebida","2013-10-16","vmuxAtyzy1I","list(id = ""vmuxAtyzy1I"", viewCount = ""363442"", likeCount = ""2783"", dislikeCount = ""42"", favoriteCount = ""0"", commentCount = ""52"")","363442","2783","42","Maiara e Maraisa"
"Maiara & Maraisa - Sem Tirar a Roupa","2013-10-16","omHHWxNyQAM","list(id = ""omHHWxNyQAM"", viewCount = ""331798"", likeCount = ""1226"", dislikeCount = ""37"", favoriteCount = ""0"", commentCount = ""31"")","331798","1226","37","Maiara e Maraisa"
"Maiara & Maraísa - Encontro com o Passado","2013-10-16","7fuV1OI7Sak","list(id = ""7fuV1OI7Sak"", viewCount = ""155911"", likeCount = ""1368"", dislikeCount = ""21"", favoriteCount = ""0"", commentCount = ""44"")","155911","1368","21","Maiara e Maraisa"
"Maiara & Maraisa - Show Completo","2014-03-28","mlj15k9Kre0","list(id = ""mlj15k9Kre0"", viewCount = ""531684"", likeCount = ""4381"", dislikeCount = ""86"", favoriteCount = ""0"", commentCount = ""197"")","531684","4381","86","Maiara e Maraisa"
"Maiara & Maraisa - É Rolo part. (Jorge & Mateus)","2014-05-27","4HUDn2NtZJ8","list(id = ""4HUDn2NtZJ8"", viewCount = ""1253710"", likeCount = ""6823"", dislikeCount = ""182"", favoriteCount = ""0"", commentCount = ""174"")","1253710","6823","182","Maiara e Maraisa"
"Maiara & Maraisa - Cuida Bem Dela (Nossas Canções)","2014-09-26","Bp3DuduwfOE","list(id = ""Bp3DuduwfOE"", viewCount = ""186164"", likeCount = ""2504"", dislikeCount = ""28"", favoriteCount = ""0"", commentCount = ""88"")","186164","2504","28","Maiara e Maraisa"
"Maiara & Maraisa - Dois Idiotas (Lançamento 2014)","2014-07-24","iaEHPGcE3n4","list(id = ""iaEHPGcE3n4"", viewCount = ""951700"", likeCount = ""5173"", dislikeCount = ""105"", favoriteCount = ""0"", commentCount = ""140"")","951700","5173","105","Maiara e Maraisa"
"Maiara & Maraisa - Open Bar","2014-01-14","6tuZa3JSdN4","list(id = ""6tuZa3JSdN4"", viewCount = ""430824"", likeCount = ""3650"", dislikeCount = ""63"", favoriteCount = ""0"", commentCount = ""78"")","430824","3650","63","Maiara e Maraisa"
"Maiara & Maraisa - Show Completo","2014-01-14","vmHuTxavIzU","list(id = ""vmHuTxavIzU"", viewCount = ""362608"", likeCount = ""2009"", dislikeCount = ""51"", favoriteCount = ""0"", commentCount = ""68"")","362608","2009","51","Maiara e Maraisa"
