"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Minha Herança - Marília Mendonça","2013-05-13","d-YI4ywvxm0","list(id = ""d-YI4ywvxm0"", viewCount = ""464506"", likeCount = ""9079"", dislikeCount = ""74"", favoriteCount = ""0"", commentCount = ""586"")","464506","9079","74","Marilia Mendonça"
"Um degrau na escada - Marília Mendonça","2013-05-13","qPwGefvC2r8","list(id = ""qPwGefvC2r8"", viewCount = ""166376"", likeCount = ""4016"", dislikeCount = ""56"", favoriteCount = ""0"", commentCount = ""289"")","166376","4016","56","Marilia Mendonça"
"Um século sem ti - Matogrosso & Mathias por Marília Mendonça","2013-05-18","dUCQX2s8EFU","list(id = ""dUCQX2s8EFU"", viewCount = ""84867"", likeCount = ""1906"", dislikeCount = ""26"", favoriteCount = ""0"", commentCount = ""77"")","84867","1906","26","Marilia Mendonça"
"Te Esperando - Luan Santana por Marília Mendonça","2013-05-14","VUz5ZAGpy-8","list(id = ""VUz5ZAGpy-8"", viewCount = ""104672"", likeCount = ""2674"", dislikeCount = ""32"", favoriteCount = ""0"", commentCount = ""171"")","104672","2674","32","Marilia Mendonça"
"Marília Mendonça - A voz do coração [ Lyric Vídeo ]","2014-11-10","W1dwp9fi3No","list(id = ""W1dwp9fi3No"", viewCount = ""2290549"", likeCount = ""12332"", dislikeCount = ""286"", favoriteCount = ""0"", commentCount = ""427"")","2290549","12332","286","Marilia Mendonça"
"Marília Mendonça - Sentimento Louco [ Vídeo Oficial ]","2014-12-11","rNfQxtv3Yok","list(id = ""rNfQxtv3Yok"", viewCount = ""5182665"", likeCount = ""57190"", dislikeCount = ""1626"", favoriteCount = ""0"", commentCount = ""2673"")","5182665","57190","1626","Marilia Mendonça"
"Marília Mendonça - Sentimento Louco  [ Lyric Vídeo ]","2014-11-03","CjX7Umm9O4M","list(id = ""CjX7Umm9O4M"", viewCount = ""1127601"", likeCount = ""13422"", dislikeCount = ""416"", favoriteCount = ""0"", commentCount = ""702"")","1127601","13422","416","Marilia Mendonça"
"Marília Mendonça - O que falta em você sou eu [ Lyric Vídeo ]","2014-11-07","eaWgpXGbJ18","list(id = ""eaWgpXGbJ18"", viewCount = ""576451"", likeCount = ""7589"", dislikeCount = ""149"", favoriteCount = ""0"", commentCount = ""383"")","576451","7589","149","Marilia Mendonça"
"Marília Mendonça - Essas nossas brigas [ Lyric Vídeo ]","2014-11-07","9O3CdvGghKM","list(id = ""9O3CdvGghKM"", viewCount = ""308417"", likeCount = ""3068"", dislikeCount = ""62"", favoriteCount = ""0"", commentCount = ""119"")","308417","3068","62","Marilia Mendonça"
"Marília Mendonça - Me desculpe mas eu sou fiel [ Lyric Vídeo ]","2014-11-07","P2z494OFRzE","list(id = ""P2z494OFRzE"", viewCount = ""160413"", likeCount = ""1601"", dislikeCount = ""26"", favoriteCount = ""0"", commentCount = ""68"")","160413","1601","26","Marilia Mendonça"
