"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Paula Fernandes - Quero Sim","2009-06-26","djyUM7qg97Y","list(id = ""djyUM7qg97Y"", viewCount = ""5641554"", likeCount = ""7258"", dislikeCount = ""257"", favoriteCount = ""0"", commentCount = ""504"")","5641554","7258","257","Paula Fernandes"
"Paula Fernandes - Chuva Chover","2009-12-01","tKLPoIjYKzA","list(id = ""tKLPoIjYKzA"", viewCount = ""1982003"", likeCount = ""3134"", dislikeCount = ""122"", favoriteCount = ""0"", commentCount = ""221"")","1982003","3134","122","Paula Fernandes"
"Paula Fernandes - Meu Eu Em Você","2009-06-26","Nip0LbiShcQ","list(id = ""Nip0LbiShcQ"", viewCount = ""2180677"", likeCount = ""2435"", dislikeCount = ""71"", favoriteCount = ""0"", commentCount = ""181"")","2180677","2435","71","Paula Fernandes"
"Paula Fernandes - Seio De Minas","2011-03-01","1ux38zbTVSo","list(id = ""1ux38zbTVSo"", viewCount = ""5717141"", likeCount = ""16274"", dislikeCount = ""368"", favoriteCount = ""0"", commentCount = ""1308"")","5717141","16274","368","Paula Fernandes"
"Paula Fernandes - Sensações","2011-03-01","-BWit9kFJUQ","list(id = ""-BWit9kFJUQ"", viewCount = ""10738394"", likeCount = ""30501"", dislikeCount = ""929"", favoriteCount = ""0"", commentCount = ""1960"")","10738394","30501","929","Paula Fernandes"
"Paula Fernandes, Victor & Leo - Não Precisa","2011-03-01","YBwuoIO2NNk","list(id = ""YBwuoIO2NNk"", viewCount = ""92404099"", likeCount = ""235706"", dislikeCount = ""11531"", favoriteCount = ""0"", commentCount = ""14596"")","92404099","235706","11531","Paula Fernandes"
"Paula Fernandes, Leonardo - Tocando Em Frente","2011-01-25","Jb7LTOMJ3Qg","list(id = ""Jb7LTOMJ3Qg"", viewCount = ""25374068"", likeCount = ""69636"", dislikeCount = ""3235"", favoriteCount = ""0"", commentCount = ""3737"")","25374068","69636","3235","Paula Fernandes"
"Paula Fernandes - Pra Que Conversar?","2011-03-01","Td2PYnsiW88","list(id = ""Td2PYnsiW88"", viewCount = ""4332884"", likeCount = ""9859"", dislikeCount = ""283"", favoriteCount = ""0"", commentCount = ""462"")","4332884","9859","283","Paula Fernandes"
"Paula Fernandes, Almir Sater - Jeito De Mato","2011-05-06","z75JpfOKIBI","list(id = ""z75JpfOKIBI"", viewCount = ""9149246"", likeCount = ""52435"", dislikeCount = ""1878"", favoriteCount = ""0"", commentCount = ""2507"")","9149246","52435","1878","Paula Fernandes"
"Paula Fernandes - Costumes","2011-05-09","ZtByaBC0nc4","list(id = ""ZtByaBC0nc4"", viewCount = ""6968812"", likeCount = ""17173"", dislikeCount = ""816"", favoriteCount = ""0"", commentCount = ""1125"")","6968812","17173","816","Paula Fernandes"
"Paula Fernandes - Jeito De Mato (Ao Vivo)","2011-02-14","hesptNyhRk0","list(id = ""hesptNyhRk0"", viewCount = ""8209503"", likeCount = ""20012"", dislikeCount = ""671"", favoriteCount = ""0"", commentCount = ""1177"")","8209503","20012","671","Paula Fernandes"
