"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Wanessa Camargo - Assistindo Madonna na Stick & Sweet Tour, OMG!","2008-11-03","RMfvFYEDtrQ","list(id = ""RMfvFYEDtrQ"", viewCount = ""108548"", likeCount = ""126"", dislikeCount = ""17"", favoriteCount = ""0"", commentCount = ""59"")","108548","126","17","Wanessa"
"Wanessa Camargo - One Of Us (Joan Osbourne Cover)","2008-07-23","UITLGj9baDU","list(id = ""UITLGj9baDU"", viewCount = ""86349"", likeCount = ""101"", dislikeCount = ""7"", favoriteCount = ""0"", commentCount = ""51"")","86349","101","7","Wanessa"
"Wanessa Camargo - You've Got A Friend (James Taylor cover)","2008-07-30","yRtGNnOwfvg","list(id = ""yRtGNnOwfvg"", viewCount = ""166047"", likeCount = ""115"", dislikeCount = ""20"", favoriteCount = ""0"", commentCount = ""52"")","166047","115","20","Wanessa"
"Wanessa Camargo - Everybody Hurts (R.E.M. Cover)","2008-07-23","a9vNjdnHp34","list(id = ""a9vNjdnHp34"", viewCount = ""95979"", likeCount = ""64"", dislikeCount = ""29"", favoriteCount = ""0"", commentCount = ""43"")","95979","64","29","Wanessa"
"Wanessa Camargo - Pescador de Ilusões (O Rappa Cover)","2008-07-23","KOnJfnL3ZWU","list(id = ""KOnJfnL3ZWU"", viewCount = ""128230"", likeCount = ""77"", dislikeCount = ""21"", favoriteCount = ""0"", commentCount = ""44"")","128230","77","21","Wanessa"
"Wanessa Camargo - You Oughta Know  (Alanis Morissette Cover)","2008-07-23","SLTKLA5cW7s","list(id = ""SLTKLA5cW7s"", viewCount = ""46761"", likeCount = ""52"", dislikeCount = ""13"", favoriteCount = ""0"", commentCount = ""31"")","46761","52","13","Wanessa"
"Wanessa Camargo - Dossiê Wanessa (Episódio 1)","2009-07-03","Yox-DRM91mA","list(id = ""Yox-DRM91mA"", viewCount = ""13534"", likeCount = ""37"", dislikeCount = ""3"", favoriteCount = ""0"", commentCount = ""12"")","13534","37","3","Wanessa"
"Wanessa Camargo - Dossiê Wanessa (Episódio 2)","2009-07-09","ufjZYUxquvg","list(id = ""ufjZYUxquvg"", viewCount = ""7974"", likeCount = ""27"", dislikeCount = ""0"", favoriteCount = ""0"", commentCount = ""4"")","7974","27","0","Wanessa"
"Wanessa Camargo - Dossiê Wanessa (Episódio 3)","2009-07-10","d6jIZx0cIck","list(id = ""d6jIZx0cIck"", viewCount = ""22073"", likeCount = ""30"", dislikeCount = ""2"", favoriteCount = ""0"", commentCount = ""6"")","22073","30","2","Wanessa"
"Wanessa Camargo - Não Tô Pronta Pra Perdoar (Not Ready To Make Nice) [Ao Vivo no Citibank Hall]","2010-12-18","mIhOIARi-MU","list(id = ""mIhOIARi-MU"", viewCount = ""39690"", likeCount = ""310"", dislikeCount = ""6"", favoriteCount = ""0"", commentCount = ""39"")","39690","310","6","Wanessa"
"Wanessa Camargo - Abrazamé (Ao Vivo no Citibank Hall)","2010-12-19","BDX1Gc1pftI","list(id = ""BDX1Gc1pftI"", viewCount = ""33728"", likeCount = ""274"", dislikeCount = ""5"", favoriteCount = ""0"", commentCount = ""46"")","33728","274","5","Wanessa"
"Wanessa Camargo - Tanta Saudade (Heaven Came Down) [Ao Vivo no Citibank Hall]","2010-12-19","UC9N_qbn44M","list(id = ""UC9N_qbn44M"", viewCount = ""57694"", likeCount = ""454"", dislikeCount = ""7"", favoriteCount = ""0"", commentCount = ""50"")","57694","454","7","Wanessa"
"Wanessa Camargo - Stuck On Repeat (Ao Vivo no Citibank Hall)","2010-12-21","aJvbPXc7tGU","list(id = ""aJvbPXc7tGU"", viewCount = ""43189"", likeCount = ""203"", dislikeCount = ""5"", favoriteCount = ""0"", commentCount = ""71"")","43189","203","5","Wanessa"
"Wanessa Camargo - Falling For U (Ao Vivo no Citibank Hall)","2010-12-21","r9Ion5FEdTA","list(id = ""r9Ion5FEdTA"", viewCount = ""72329"", likeCount = ""363"", dislikeCount = ""14"", favoriteCount = ""0"", commentCount = ""96"")","72329","363","14","Wanessa"
"Wanessa Camargo - Chamar Atenção (Sick Inside) [Ao Vivo no Citibank Hall]","2010-12-18","a7y9hBeome4","list(id = ""a7y9hBeome4"", viewCount = ""35096"", likeCount = ""242"", dislikeCount = ""7"", favoriteCount = ""0"", commentCount = ""32"")","35096","242","7","Wanessa"
"Wanessa Camargo - O Amor Não Deixa (Love Won't Let Me) [[Ao Vivo no Citibank Hall]","2010-12-20","kGdDvjINekY","list(id = ""kGdDvjINekY"", viewCount = ""43909"", likeCount = ""282"", dislikeCount = ""11"", favoriteCount = ""0"", commentCount = ""38"")","43909","282","11","Wanessa"
"Wanessa Camargo - Amor Amor (Ao Vivo no Citibank Hall)","2010-12-21","dtvcKmimE6U","list(id = ""dtvcKmimE6U"", viewCount = ""57067"", likeCount = ""237"", dislikeCount = ""9"", favoriteCount = ""0"", commentCount = ""32"")","57067","237","9","Wanessa"
"Wanessa Camargo - Medley Acústico [Ao Vivo no Citibank Hall]","2010-12-19","VE4Bbt3Glh0","list(id = ""VE4Bbt3Glh0"", viewCount = ""51266"", likeCount = ""278"", dislikeCount = ""3"", favoriteCount = ""0"", commentCount = ""61"")","51266","278","3","Wanessa"
"Wanessa Camargo - Só Se Vive Uma Vez (Ao Vivo no Citibank Hall)","2010-12-19","OHPuFgCFnC8","list(id = ""OHPuFgCFnC8"", viewCount = ""23750"", likeCount = ""228"", dislikeCount = ""2"", favoriteCount = ""0"", commentCount = ""68"")","23750","228","2","Wanessa"
"Wanessa Camargo - Vi Anjos (Ao Vivo no Citibank Hall)","2010-12-19","3TCtz8OMzVg","list(id = ""3TCtz8OMzVg"", viewCount = ""26866"", likeCount = ""182"", dislikeCount = ""4"", favoriteCount = ""0"", commentCount = ""31"")","26866","182","4","Wanessa"
"Wanessa Camargo -  Medley Pop (Ao Vivo no Citibank Hall)","2010-12-20","8BT0YAbMvsw","list(id = ""8BT0YAbMvsw"", viewCount = ""41865"", likeCount = ""280"", dislikeCount = ""13"", favoriteCount = ""0"", commentCount = ""62"")","41865","280","13","Wanessa"
"Wanessa Camargo - Ao Vivo no Citibank Hall (Making Of)","2010-12-18","ZzoxbeNiKfI","list(id = ""ZzoxbeNiKfI"", viewCount = ""16950"", likeCount = ""106"", dislikeCount = ""4"", favoriteCount = ""0"", commentCount = ""13"")","16950","106","4","Wanessa"
"Wanessa Camargo - Me Engana Que Eu Gosto (Mienteme) [Ao Vivo no Citibank Hall]","2010-12-20","S0MRqhWjlwo","list(id = ""S0MRqhWjlwo"", viewCount = ""33897"", likeCount = ""155"", dislikeCount = ""6"", favoriteCount = ""0"", commentCount = ""13"")","33897","155","6","Wanessa"
"Wanessa Camargo  -  Sem Querer (Ao Vivo no Citibank Hall)","2010-12-18","5wREraYr3sk","list(id = ""5wREraYr3sk"", viewCount = ""48969"", likeCount = ""311"", dislikeCount = ""12"", favoriteCount = ""0"", commentCount = ""51"")","48969","311","12","Wanessa"
"Wanessa Camargo - Party Line (Ao Vivo no Citibank Hall)","2010-12-20","sYiBuWmkFsI","list(id = ""sYiBuWmkFsI"", viewCount = ""18071"", likeCount = ""75"", dislikeCount = ""3"", favoriteCount = ""0"", commentCount = ""20"")","18071","75","3","Wanessa"
"Wanessa Camargo - Não Me Leve A Mal (Let Me Live) [Ao Vivo no Citibank Hall]","2010-12-20","kbnl1OFA4r0","list(id = ""kbnl1OFA4r0"", viewCount = ""28174"", likeCount = ""152"", dislikeCount = ""4"", favoriteCount = ""0"", commentCount = ""36"")","28174","152","4","Wanessa"
"Wanessa Camargo - Meu Menino (Ao Vivo no Citibank Hall)","2010-12-20","jcvfw5hlJj0","list(id = ""jcvfw5hlJj0"", viewCount = ""12189"", likeCount = ""59"", dislikeCount = ""2"", favoriteCount = ""0"", commentCount = ""10"")","12189","59","2","Wanessa"
"Wanessa Camargo - O Que Vem Do Reggae É Bom (Ao Vivo no Citibank Hall)","2010-12-20","X9Qoqp9jpBs","list(id = ""X9Qoqp9jpBs"", viewCount = ""20261"", likeCount = ""89"", dislikeCount = ""3"", favoriteCount = ""0"", commentCount = ""18"")","20261","89","3","Wanessa"
"Wanessa Camargo - Medley Pop (Ao Vivo no Citibank Hall)","2010-12-21","wKZ8_McNGac","list(id = ""wKZ8_McNGac"", viewCount = ""43198"", likeCount = ""216"", dislikeCount = ""21"", favoriteCount = ""0"", commentCount = ""75"")","43198","216","21","Wanessa"
"Wanessa Camargo - Worth It (Ao Vivo no Citibank Hall)","2010-12-21","w0Nkwy2iz0c","list(id = ""w0Nkwy2iz0c"", viewCount = ""43950"", likeCount = ""155"", dislikeCount = ""14"", favoriteCount = ""0"", commentCount = ""57"")","43950","155","14","Wanessa"
"Wanessa Camargo - Não Resisto A Nós Dois (Ao Vivo no Citibank Hall)","2010-12-18","F_M2wfQlSps","list(id = ""F_M2wfQlSps"", viewCount = ""22586"", likeCount = ""147"", dislikeCount = ""5"", favoriteCount = ""0"", commentCount = ""24"")","22586","147","5","Wanessa"
"Wanessa Camargo - Fly (Ao Vivo no Citibank Hall)","2010-12-21","OBH0WP9mNmw","list(id = ""OBH0WP9mNmw"", viewCount = ""34668"", likeCount = ""106"", dislikeCount = ""13"", favoriteCount = ""0"", commentCount = ""43"")","34668","106","13","Wanessa"
"Wanessa Camargo - Dono Da Noite (Ao Vivo no Citibank Hall)","2010-12-20","TLM_b4Uz6iA","list(id = ""TLM_b4Uz6iA"", viewCount = ""11661"", likeCount = ""54"", dislikeCount = ""6"", favoriteCount = ""0"", commentCount = ""7"")","11661","54","6","Wanessa"
"Wanessa - Teaser Novo Show","2010-09-08","vT34myK6Lac","list(id = ""vT34myK6Lac"", viewCount = ""27443"", likeCount = ""64"", dislikeCount = ""5"", favoriteCount = ""0"", commentCount = ""32"")","27443","64","5","Wanessa"
"Wanessa - Você não perde por esperar....","2010-08-02","3RcOIkvbdnk","list(id = ""3RcOIkvbdnk"", viewCount = ""43988"", likeCount = ""59"", dislikeCount = ""9"", favoriteCount = ""0"", commentCount = ""8"")","43988","59","9","Wanessa"
"Wanessa Camargo - Gosto Tanto (You Pop You Rock)","2010-04-13","w3FOV7qbmyE","list(id = ""w3FOV7qbmyE"", viewCount = ""22324"", likeCount = ""59"", dislikeCount = ""6"", favoriteCount = ""0"", commentCount = ""12"")","22324","59","6","Wanessa"
"Wanessa Camargo - DNA Photoshoot","2011-07-02","_sgzDZUafAg","list(id = ""_sgzDZUafAg"", viewCount = ""93481"", likeCount = ""316"", dislikeCount = ""25"", favoriteCount = ""0"", commentCount = ""78"")","93481","316","25","Wanessa"
"Wanessa Camargo - Hair & Soul (Making of)","2012-11-28","2EVLMadJ8hg","list(id = ""2EVLMadJ8hg"", viewCount = ""23335"", likeCount = ""248"", dislikeCount = ""18"", favoriteCount = ""0"", commentCount = ""75"")","23335","248","18","Wanessa"
"Wanessa Camargo - DNA","2012-05-29","HlN8VcJ70yg","list(id = ""HlN8VcJ70yg"", viewCount = ""68195"", likeCount = ""624"", dislikeCount = ""66"", favoriteCount = ""0"", commentCount = ""163"")","68195","624","66","Wanessa"
"Wanessa Camargo - Turn It Up (feat. Soulja Boy) [Lyric Video]","2013-11-26","PxqNgYuEi1c","list(id = ""PxqNgYuEi1c"", viewCount = ""362857"", likeCount = ""4273"", dislikeCount = ""169"", favoriteCount = ""0"", commentCount = ""686"")","362857","4273","169","Wanessa"
"Wanessa Camargo - DVD ""DNA Tour"" [Teaser]","2013-04-27","0C-eA0zzhO8","list(id = ""0C-eA0zzhO8"", viewCount = ""17545"", likeCount = ""181"", dislikeCount = ""1"", favoriteCount = ""0"", commentCount = ""30"")","17545","181","1","Wanessa"
"Wanessa Camargo - Turn It Up (feat. Soulja Boy) [Teaser]","2013-11-21","CI8lguMjNHs","list(id = ""CI8lguMjNHs"", viewCount = ""67343"", likeCount = ""681"", dislikeCount = ""24"", favoriteCount = ""0"", commentCount = ""92"")","67343","681","24","Wanessa"
